"hub_id","hub_name","hub_city","hub_state","hub_latitude","hub_longitude"
"2","BLUE SHOPPING","PORTO ALEGRE","RS","-30.047415","-51.21351"
"3","GREEN SHOPPING","PORTO ALEGRE","RS","-30.037415","-51.20352"
"4","RED SHOPPING","PORTO ALEGRE","RS","-30.021948","-51.20838"
"5","FUNK SHOPPING","RIO DE JANEIRO","RJ","-23.00075","-43.318283"
"8","GOLDEN SHOPPING","RIO DE JANEIRO","RJ","-22.921474","-43.234776"
"13","HIP HOP SHOPPING","RIO DE JANEIRO","RJ","-22.88582","-43.279217"
"16","PEOPLE SHOPPING","RIO DE JANEIRO","RJ","-23.017473","-43.47994"
"17","SMALL SHOPPING","S�O PAULO","SP","-23.592005","-46.636505"
"18","STAR SHOPPING","RIO DE JANEIRO","RJ","-22.945496","-43.182182"
"20","PURPLE SHOPPING","RIO DE JANEIRO","RJ","-22.996847","-43.359634"
"21","WOLF SHOPPING","S�O PAULO","SP","-23.550407","-46.697315"
"22","COLOR SHOPPING","RIO DE JANEIRO","RJ","-23.000753","-43.38377"
"25","AVENUE SHOPPING","S�O PAULO","SP","-23.567703","-46.642044"
"26","SQL SHOPPING","S�O PAULO","SP","-23.563019","-46.652622"
"27","SAMPA SHOPPING","S�O PAULO","SP","-23.622995","-46.699203"
"28","RAP SHOPPING","S�O PAULO","SP","-23.595001","-46.685986"
"29","SUBWAY SHOPPING","S�O PAULO","SP","-23.561052","-46.558975"
"31","PAGODE SHOPPING","S�O PAULO","SP","-23.629826","-46.735203"
"33","COFFEE SHOPPING","S�O PAULO","SP","-23.579067","-46.59282"
"35","BEACH SHOPPING","RIO DE JANEIRO","RJ","-22.96988","-43.37081"
"36","BLACK SHOPPING","PORTO ALEGRE","RS","-30.085743","-51.246"
"37","RIVER SHOPPING","S�O PAULO","SP","-23.507105","-46.718197"
"42","PHP SHOPPING","CURITIBA","PR","-25.438105","-49.266533"
"43","HOTMILK SHOPPING","CURITIBA","PR","-25.441221","-49.27769"
"44","FORTRAN SHOPPING","CURITIBA","PR","-25.43514","-49.316788"
"51","RUBY SHOPPING","RIO DE JANEIRO","RJ","-22.923676","-43.567757"
"55","ELIXIR SHOPPING","S�O PAULO","SP","-23.521776","-46.624153"
"73","HUBLESS SHOPPING","S�O PAULO","SP","-22.94746","-43.183468"
"75","PYTHON SHOPPING","CURITIBA","PR","-25.477074","-49.28966"
"85","REACT SHOPPING","S�O PAULO","SP","-23.513353","-46.618355"
"86","R SHOPPING","S�O PAULO","SP","-23.541502","-46.57662"
"91","GAROA SHOPPING","S�O PAULO","SP","-23.525124","-46.546806"
